NumRF;Montant;MontantRF;DateDon;AdressePays;NomDonateur;RowID;NumRF_numeric;Nb_Doublons_NumRF;Ctrl_DoublonRF;Taille_RuptureSeq;Ctrl_RuptureSeq;Ctrl_PaysGAFI;Ctrl_MontantNegatif;Ctrl_MontantNul;Ctrl_IdentiteVide;Ctrl_Montant500;Ctrl_DateApresNov;Ctrl_Etranger;Mois;JourSemaine;EstFinAnnee;RiskRule;Prob_Risque;Classe_ML
1;530.11;529.99;2024-04-15;France;Nicolas Petit;0;1;1;0;1;0;0;0;0;0;1;0;0;4;0;0;0;0.3627768894154859;Risque faible
2;72.91;72.88;2024-12-07;France;Marie Moreau;1;2;1;0;1;0;0;0;0;0;0;1;0;12;5;1;0;0.26567389868002;Risque faible
3;174.67;174.39;2024-04-12;France;Emma Laurent;2;3;1;0;1;0;0;0;0;0;0;0;0;4;4;0;0;0.04903509989080865;Risque faible
4;638.64;638.8;2024-09-22;France;Jean Richard;3;4;1;0;1;0;0;0;0;0;1;0;0;9;6;0;0;0.4233520706324028;Risque faible
5;534.99;534.88;2024-12-16;France;Marie Petit;4;5;1;0;1;0;0;0;0;0;1;1;0;12;0;1;1;0.39279642322249203;Risque faible
6;154.02;154.11;2024-05-12;France;Marie Petit;5;6;1;0;1;0;0;0;0;0;0;0;0;5;6;0;0;0.04000159638803544;Risque faible
7;87.24;87.74;2024-12-04;France;Hugo Moreau;6;7;1;0;1;0;0;0;0;0;0;1;0;12;2;1;0;0.27831085748031825;Risque faible
8;243.58;243.23;2024-11-03;France;Paul Dupont;7;8;1;0;1;0;0;0;0;0;0;1;0;11;6;1;0;0.10492437652455015;Risque faible
9;298.76;299.06;2024-10-11;France;Camille Dupont;8;9;1;0;1;0;0;0;0;0;0;0;0;10;4;0;0;0.04648228447407204;Risque faible
10;53.56;53.58000000000001;2024-12-01;France;Camille Durand;9;10;1;0;1;0;0;0;0;0;0;1;0;12;6;1;0;0.26445979571329276;Risque faible
11;306.04;307.05;2024-11-09;France;Jean Bernard;10;11;1;0;1;0;0;0;0;0;0;1;0;11;5;1;0;0.10127932351576835;Risque faible
12;342.69;342.58;2024-05-25;France;Luc Robert;11;12;1;0;1;0;0;0;0;0;0;0;0;5;5;0;0;0.03862469343156139;Risque faible
13;226.92;227.27;2024-12-31;France;Sophie Moreau;12;13;1;0;1;0;0;0;0;0;0;1;0;12;1;1;0;0.16951142743545938;Risque faible
14;92.37;92.38000000000001;2024-09-05;France;Paul Moreau;13;14;1;0;1;0;0;0;0;0;0;0;0;9;3;0;0;0.06261954763309795;Risque faible
15;473.68;472.99;2024-02-04;France;Emma Petit;14;15;1;0;1;0;0;0;0;0;0;0;0;2;6;0;0;0.05991775734862704;Risque faible
16;4186.79;4186.53;2024-11-22;France;Camille Bernard;15;16;1;0;1;0;0;0;0;0;1;1;0;11;4;1;1;0.626810185966722;Haut risque
17;542.84;543.2800000000001;2024-11-14;France;Camille Laurent;16;17;1;0;1;0;0;0;0;0;1;1;0;11;3;1;1;0.5467287401719637;Risque faible
18;408.71;408.49;2024-11-02;France;Marie Richard;17;18;1;0;1;0;0;0;0;0;0;1;0;11;5;1;0;0.10063010079759074;Risque faible
19;3071.82;3070.71;2024-09-16;France;Jean Laurent;18;19;1;0;1;0;0;0;0;0;1;0;0;9;0;0;0;0.29684761817024363;Risque faible
20;128.5;128.48;2024-11-02;France;Lea Robert;19;20;1;0;1;0;0;0;0;0;0;1;0;11;5;1;0;0.13159531068103353;Risque faible
21;82.01;81.46000000000001;2024-12-15;France;Hugo Durand;20;21;1;0;1;0;0;0;0;0;0;1;0;12;6;1;0;0.26682493529811735;Risque faible
22;344.93;345.0;2024-10-12;France;Camille Richard;21;22;1;0;1;0;0;0;0;0;0;0;0;10;5;0;0;0.03914465994698634;Risque faible
23;565.2;565.98;2024-12-15;France;Luc Martin;22;23;1;0;1;0;0;0;0;0;1;1;0;12;6;1;1;0.6906961476735175;Haut risque
24;138.67;139.05;2024-06-29;France;Paul Bernard;23;24;1;0;1;0;0;0;0;0;0;0;0;6;5;0;0;0.039423963451134685;Risque faible
25;207.54;208.31;2024-07-28;France;Luc Martin;24;25;1;0;1;0;0;0;0;0;0;0;0;7;6;0;0;0.03552848305325816;Risque faible
26;440.19;439.91;2024-12-22;France;Jean Petit;25;26;1;0;1;0;0;0;0;0;0;1;0;12;6;1;0;0.14341092320021112;Risque faible
27;26.8;26.73;2024-11-25;France;Camille Bernard;26;27;1;0;1;0;0;0;0;0;0;1;0;11;0;1;0;0.2601460398270696;Risque faible
28;229.11;228.59;2024-05-21;France;Paul Laurent;27;28;1;0;1;0;0;0;0;0;0;0;0;5;1;0;0;0.07186412258252049;Risque faible
29;107.73;107.39;2024-11-23;France;Emma Simon;28;29;1;0;1;0;0;0;0;0;0;1;0;11;5;1;0;0.15033690097906194;Risque faible
30;2422.1;2421.64;2024-03-27;France;Camille Laurent;29;30;1;0;1;0;0;0;0;0;1;0;0;3;2;0;0;0.30906155548340336;Risque faible
31;435.23;434.58;2024-05-19;France;Marie Robert;30;31;1;0;1;0;0;0;0;0;0;0;0;5;6;0;0;0.04350738360543076;Risque faible
32;434.51;435.19;2024-11-27;France;Marie Richard;31;32;1;0;1;0;0;0;0;0;0;1;0;11;2;1;0;0.1093878738685765;Risque faible
33;245.03;243.98;2024-12-11;France;Jean Dupont;32;33;1;0;1;0;0;0;0;0;0;1;0;12;2;1;0;0.13176139933586145;Risque faible
34;439.06;439.75;2024-01-26;France;Nicolas Laurent;33;34;1;0;1;0;0;0;0;0;0;0;0;1;4;0;0;0.06821067059168422;Risque faible
35;477.21;477.83;2024-05-13;France;Luc Simon;34;35;1;0;1;0;0;0;0;0;0;0;0;5;0;0;0;0.06863541119763478;Risque faible
36;91.47;91.72;2024-12-22;France;Lea Simon;35;36;1;0;1;0;0;0;0;0;0;1;0;12;6;1;0;0.20242507420686548;Risque faible
37;499.76;499.2;2024-04-24;France;Nicolas Moreau;36;37;1;0;1;0;0;0;0;0;0;0;0;4;2;0;0;0.06141494736301577;Risque faible
38;718.14;717.35;2024-06-29;France;Paul Durand;37;38;1;0;1;0;0;0;0;0;1;0;0;6;5;0;0;0.32036026119249955;Risque faible
